2026-08-30T15:08:38.049532 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:09:39.927626 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:10:40.577198 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:11:37.324348 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:12:42.627445 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:13:49.071991 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:14:54.343647 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:16:01.634428 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:17:11.296645 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:18:15.505679 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:19:22.009578 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:20:29.833588 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:21:45.375276 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:22:51.900945 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:24:00.169295 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:25:06.675153 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:26:12.085940 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:27:19.885730 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:28:25.726646 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:29:35.939800 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:30:42.904672 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:31:57.929757 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:33:09.491181 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:34:19.168442 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:35:53.023538 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:37:14.225771 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:38:24.997463 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:39:42.534080 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:41:03.289008 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
